DATE TIME OPEN HIGH LOW CLOSE VOL
210104 100000 1399.0600000 1427.7900000 1398.8200000 1427.2400000 173072843
210104 110000 1427.1500000 1435.6000000 1423.4400000 1434.9700000 146273271
210104 120000 1434.9600000 1439.0500000 1434.1900000 1439.0500000 110753025
210104 130000 1439.0400000 1439.6100000 1434.1600000 1435.5000000 58103122
210104 140000 1435.4600000 1436.6900000 1431.7600000 1432.0500000 53281337
210104 150000 1432.0100000 1432.1000000 1428.5700000 1430.1200000 57305473
210104 160000 1430.1900000 1435.0600000 1429.7600000 1434.9300000 85463187
210104 170000 1434.9600000 1436.2200000 1431.7300000 1433.8600000 105305030
210104 180000 1433.9400000 1434.5700000 1423.3700000 1424.8400000 115693002
210105 100000 1410.0800000 1414.0100000 1386.5600000 1388.9800000 148301865
210105 110000 1389.0900000 1404.9200000 1388.6400000 1399.1800000 140337858
210105 120000 1399.2200000 1407.2800000 1397.8400000 1405.5700000 70396437
210105 130000 1405.5500000 1411.9800000 1404.2300000 1411.2800000 68619208
210105 140000 1411.2500000 1414.2600000 1406.8200000 1407.8300000 59739006
210105 150000 1407.8700000 1408.5100000 1402.8900000 1407.7400000 75795926
210105 160000 1407.7900000 1408.3200000 1402.4300000 1402.7100000 70008159
210105 170000 1402.6800000 1421.3300000 1402.2600000 1421.0100000 160630696
210105 180000 1421.0700000 1428.7000000 1420.1500000 1426.1100000 175646691
210106 100000 1436.5800000 1446.2100000 1436.4800000 1444.6000000 167895036
210106 110000 1444.6600000 1444.9700000 1427.0300000 1428.7500000 151362397
210106 120000 1428.7100000 1439.1900000 1424.8700000 1439.1900000 101090374
210106 130000 1439.2800000 1443.3500000 1437.1600000 1440.0600000 85620499
210106 140000 1440.0400000 1443.3300000 1439.0200000 1439.7500000 70436437
210106 150000 1439.8300000 1443.9900000 1432.2000000 1432.5600000 91424465
210106 160000 1432.5100000 1438.7700000 1429.9800000 1431.0200000 79758592
210106 170000 1431.0800000 1435.0700000 1425.1100000 1433.5000000 104566023
210106 180000 1433.6100000 1436.7100000 1432.5100000 1436.7100000 120115855
210108 100000 1447.8900000 1456.5500000 1447.8900000 1453.0800000 310634498
210108 110000 1453.0300000 1456.2900000 1447.8900000 1448.8600000 296094919
210108 120000 1448.8700000 1454.7600000 1448.2600000 1453.8200000 141737532
210108 130000 1453.8300000 1459.7900000 1452.7000000 1456.6700000 136455321
210108 140000 1456.7000000 1466.4900000 1455.5300000 1465.1100000 147120466
210108 150000 1465.1200000 1468.4600000 1463.6700000 1468.2900000 112162589
210108 160000 1468.1600000 1476.4900000 1468.0100000 1474.7100000 135587038
